cell,arc,metric,transition_type,slew_ns,load_pf,ref0_value_ns,ref1_value_ns,delta_ns,percent_diff
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,27.103448,3.346303,3.342013,-0.00429,-0.1282
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,28.0,3.43764,3.435077,-0.002563,-0.0746
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,28.068966,3.44493,3.442235,-0.002694,-0.0782
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,29.034483,3.546988,3.542458,-0.004531,-0.1277
sg13g2_IOPadOut30mA,c2p->pad,slew,fall,0.1,30.0,3.649047,3.64268,-0.006367,-0.1745
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.024,0.221213,0.082927,-0.138286,-62.5125
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.031448,0.226739,0.088752,-0.137987,-60.8572
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.038897,0.232264,0.094576,-0.137688,-59.2808
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.046345,0.23779,0.100401,-0.137389,-57.7776
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.048,0.239018,0.101695,-0.137323,-57.453
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.053793,0.243048,0.105816,-0.137232,-56.4629
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.061241,0.248228,0.111114,-0.137114,-55.2371
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.06869,0.253409,0.116413,-0.136997,-54.0614
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.076138,0.25859,0.121711,-0.136879,-52.9329
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.083586,0.263771,0.127009,-0.136762,-51.8486
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.091034,0.268952,0.132308,-0.136644,-50.8062
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.096,0.272406,0.13584,-0.136566,-50.1333
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.098483,0.274106,0.137543,-0.136563,-49.8212
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.105931,0.279205,0.142652,-0.136553,-48.9077
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.113379,0.284305,0.147761,-0.136543,-48.0271
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.120828,0.289404,0.152871,-0.136533,-47.1774
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.128276,0.294504,0.15798,-0.136524,-46.3572
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.135724,0.299603,0.163089,-0.136514,-45.5649
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.143172,0.304702,0.168198,-0.136504,-44.7992
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.144,0.305269,0.168766,-0.136503,-44.7156
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.150621,0.309779,0.173275,-0.136504,-44.0651
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.158069,0.314853,0.178347,-0.136506,-43.3554
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.165517,0.319926,0.183419,-0.136507,-42.6683
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.172966,0.325,0.188492,-0.136508,-42.0026
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.180414,0.330074,0.193564,-0.13651,-41.3574
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.187862,0.335147,0.198636,-0.136511,-40.7317
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.192,0.337966,0.201454,-0.136512,-40.3922
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.19531,0.340217,0.203705,-0.136512,-40.125
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.202759,0.345282,0.20877,-0.136512,-39.5364
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.210207,0.350346,0.213835,-0.136512,-38.9648
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.217655,0.355411,0.2189,-0.136511,-38.4095
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.225103,0.360476,0.223964,-0.136511,-37.8698
sg13g2_IOPadIn,pad->p2c,delay,rise,0.12,0.232552,0.36554,0.229029,-0.136511,-37.345
